Title,Type,Rating,Vote Count,Start Date,Studio
-Zen- Grogu and Dust Bunnies,ONA,7.21,56,"Nov 12, 2022",Studio Ghibli
_summer,OVA,4.72,20,"Oct 27, 2006",Rikuentai
_summer Specials,SPECIAL,6.56,17,"Oct 27, 2006",Rikuentai
.hack//G.U. Trilogy,MOVIE,7.34,28,"Dec 22, 2007",CyberConnect2
?/Rhythmic Triangles/Fighting Cards,MOVIE,7.24,33,1932,add some
.hack//G.U. Returner,OVA,7.07,11,"Jan 18, 2007",Bee Train
.hack//Legend Of The Twilight,TV,7.37,43,"Jan 09, 2003",Bee Train
.hack//Gift,OVA,6.54,13,"Nov 16, 2003",Bee Train
.hack//INTERMEZZO,SPECIAL,8.1,16,"Mar 28, 2003",Bee Train
.hack//Quantum,OVA,8.37,29,"Jan 28, 2011",Kinema Citrus
.hack//Legend of the Twilight Offline Meeting Special,SPECIAL,4.83,7,"Oct 24, 2003",Bee Train
.hack//Liminality,OVA,8.03,34,"Jun 20, 2002",Bee Train
.hack//The Movie: Sekai no Mukou ni,MOVIE,6.52,29,"Jan 21, 2012",Anima
.hack//Roots,TV,7.96,83,"Apr 06, 2006",Bee Train
.hack//Sign,TV,8.11,196,"Apr 04, 2002",Bee Train
"""Eiji""",MOVIE,7.7,14,"Aug 25, 1990",Animate Film
.hack//Unison,SPECIAL,8.2,14,"Oct 24, 2003",Bee Train
"""0""",MUSIC,6.76,30,"Sep 11, 2013",Minakata Laboratory
∀ Gundam I: Earth Light,MOVIE,6.47,12,"Feb 09, 2002",Sunrise
"""Parade"" de Satie",MOVIE,6.62,5,May 2016,Yamamura Animation
[C] - CONTROL - The Money and Soul of Possibility,TV,7.52,741,"Apr 15, 2011",Tatsunoko Production
○○ sae Ireba Ii.,ONA,8.76,70,"Oct 08, 2017",Silver Link.
∀ Gundam II: Moonlight Butterfly,MOVIE,6.83,12,"Feb 10, 2002",Sunrise
<DOGEZA>I Tried Asking While Kowtowing.,TV,8.12,1346,"Oct 14, 2020",Adonero
009-1,TV,6.71,42,"Oct 06, 2006",Ishimori Entertainment
○○ sae Ireba Ii. Specials,SPECIAL,8.95,58,"Jan 26, 2018",Silver Link.
009 Re:Cyborg,MOVIE,7.05,63,"Oct 27, 2012",SANZIGEN
1/100 SHIBUYA Crossing,ONA,9,15,"Jun 28, 2015",Terada Mokei
009-1 Special,SPECIAL,5.24,27,"Apr 25, 2007",Aniplex
07-Ghost,TV,9.03,579,"Apr 07, 2009",Studio Deen
100 Sleeping Princes & the Kingdom of Dreams,TV,8.2,296,"Jul 05, 2018",Project No.9
1/100 Train Station,ONA,9.29,24,"Jul 24, 2017",Terada Mokei
1+2=Paradise,OVA,6.73,113,"Feb 23, 1990",J.C.Staff
100% Perfect Love,ONA,6.68,61,?,
100 Years of Work in Japan,ONA,7.92,39,"Aug 18, 2021",Gyorai Eizo Inc.
"100,000 Levels of Body Refining: All the Dogs I Raise Are the Emperor",ONA,6.24,80,?,
10000 Years Later,MOVIE,5.06,50,"Mar 27, 2015",Yili Animation Studio
100% Teacher Pascal,TV,8.15,11,"Apr 15, 2017",OLM
1000 Mankai Hug Nanda,MUSIC,9.5,26,"Dec 21, 2022",CloverWorks
11eyes OVA,SPECIAL,8.04,42,"Jun 25, 2010",Doga Kobo
1001 Nights,MOVIE,6.27,36,"Apr 24, 1999",add some
11eyes,TV,5.08,353,"Oct 07, 2009",Doga Kobo
12-sai.: Chiccha na Mune no Tokimeki,TV,8.82,164,"Apr 04, 2016",OLM
12 Senshi Bakuretsu Eto Ranger,TV,8.5,18,"Apr 07, 1995",Shaft
12-sai. 2nd Season,OVA,7.04,139,"Jul 03, 2015",SynergySP
16bit Sensation: Another Layer,TV,8.44,872,"Oct 05, 2023",Silver
12-sai.: Chiccha na Mune no Tokimeki 2,TV,8.16,119,"Oct 03, 2016",OLM
15th Anniversary Short Animation: Battle Spirits Shounen Toppa Bashin x Saikyou Ginga Ultimate Zero Battle Spirits,ONA,9,4,"Sep 14, 2023",Bandai Namco Pictures
2.43: Seiin High School Boys Volleyball Team,TV,8.06,1014,"Jan 08, 2021",David Production
180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka?,TV,7.28,586,"Oct 15, 2021",EKACHI EPILKA
18if,TV,7.5,175,"Jul 07, 2017",Gonzo
22/7: 8+3=?,SPECIAL,8.06,38,"Sep 16, 2020",A-1 Pictures
2005-nen Uchuu no Tabi,SPECIAL,8.66,20,"Dec 31, 2005",add some
22/7 (nanabun no nijyuuni),TV,9.12,155,"Jan 11, 2020",A-1 Pictures
3-pun de Wakaru! Kore made no Love Live!,ONA,9.21,14,"Apr 27, 2015",Sunrise
"25-Year-Old High School Girl, I Wouldn’t Do This with a Kid",ONA,5.13,464,"Jan 08, 2018",Lilix
3-D Heaven,MUSIC,7.51,15,"Oct 03, 1988",NHK
3D Nyanko-sensei Gekijou,SPECIAL,6.85,41,"Apr 22, 2009",Brain's Base
30-pun de Wakaru! Kore made no Love Live!,ONA,6.96,21,"Apr 24, 2015",Sunrise
30th GUNDAM PERFECT MISSION,OVA,7.89,31,"Aug 25, 2009",Sunrise
3x3 Eyes: Legend of the Divine Demon,OVA,6.59,26,"Jul 25, 1995",Studio Junio
3x3 Eyes,OVA,8.36,40,"Jul 25, 1991",Toei Animation
3x3 Eyes Perfect Collection,MOVIE,7.82,14,"Oct 10, 2021",
40-shuunen da yo!! CoroCoro All-Star Shougakkou,ONA,6.71,8,"Jul 15, 2017",OLM
4 CUT HERO,ONA,7.5,1027,"Jul 17, 2023",Phantom
4.Eyes,MOVIE,2.69,28,1975,add some
6 Angels,ONA,7.33,15,"Nov 20, 2001",Arcturus
5 Centimeters per Second,MOVIE,7.86,1756,"Mar 03, 2007",CoMix Wave Films
5-tou ni Naritai.,MOVIE,9.82,21,"Oct 10, 1995",Tama Production
6HP(Six Hearts Princess),SPECIAL,9.02,160,"Dec 30, 2016",Poncotan
6 LOVERS,OVA,6.13,611,"Feb 27, 2021",Soft Garage
663114,MOVIE,3.79,17,Sep 2011,add some
7SEEDS Part 2,ONA,8.23,201,"Mar 26, 2020",Gonzo
77 Danui Bimil,MOVIE,6.67,6,"Jul 23, 1978",Samdo Film
7SEEDS,ONA,7.49,354,"Jun 28, 2019",Gonzo
801 T.T.S. Airbats,OVA,8.59,32,"Oct 21, 1994",Studio Fantasia
8 Man,TV,8.04,22,"Nov 07, 1963",TCJ
8 Man After,OVA,7.93,18,"Aug 21, 1993",J.C.Staff
86 EIGHTY-SIX Part 2,TV,9.28,13110,"Oct 03, 2021",A-1 Pictures
84 Taekwon V,MOVIE,5.33,4,"Aug 03, 1984",add some
86 EIGHTY-SIX,TV,9.31,10929,"Apr 11, 2021",A-1 Pictures
91 Days,TV,9.12,1765,"Jul 09, 2016",Shuka
86 Part 2 Recaps,SPECIAL,7.35,214,"Nov 28, 2021",A-1 Pictures
86-Eighty Six- Special Edition - Coquelicots Blooming Across the Battlefield,SPECIAL,9.21,443,"Jun 27, 2021",A-1 Pictures
91Days: Shoal of Time,SPECIAL,8.55,127,"Jul 05, 2017",Shuka
91 Days: Brief Candle,SPECIAL,8.69,40,"Aug 26, 2016",Shuka
91 Daze,SPECIAL,8.85,32,"Nov 30, 2016",Shuka
A Bridge to the Starry Skies OVA,SPECIAL,8.62,57,"Dec 21, 2011",Doga Kobo
A Bedtime Tale,ONA,9.33,6,"Jul 23, 2019",Studio Tumble
A Bridge to the Starry Skies,TV,8.37,601,"Apr 11, 2011",Doga Kobo
A Certain Magical Index II,TV,9.24,1063,"Oct 08, 2010",J.C.Staff
A Centaur's Life,TV,8.58,224,"Jul 09, 2017",Haoliners Animation League
A Certain Magical Index,TV,9.01,2006,"Oct 05, 2008",J.C.Staff
A Certain Magical Index III Specials,SPECIAL,9.14,48,"Dec 26, 2018",J.C.Staff
A Certain Magical Index II Specials,SPECIAL,8.61,53,"Jan 26, 2011",J.C.Staff
A Certain Magical Index III,TV,9.21,1402,"Oct 05, 2018",J.C.Staff
A Certain Magical Index: The Miracle of Endymion,MOVIE,9.37,354,"Feb 23, 2013",J.C.Staff
A Certain Magical Index Movie Special,SPECIAL,8.34,46,"Aug 28, 2013",J.C.Staff
A Certain Magical Index Specials,SPECIAL,8.49,114,"Feb 07, 2009",J.C.Staff
A Certain Scientific Railgun,TV,8.58,1378,"Oct 03, 2009",J.C.Staff
A Certain Scientific Accelerator,TV,9.08,1473,"Jul 12, 2019",J.C.Staff
"A Certain Scientific Accelerator: Sally Forth, Mr. Accel! A Madcap Onslaught",SPECIAL,8.45,90,"Oct 30, 2019",J.C.Staff
A Certain Scientific Railgun S: All the Important Things I Learned in a Bathhouse,OVA,8.05,65,"Mar 25, 2014",J.C.Staff
A Certain Scientific Railgun S,TV,8.44,1018,"Apr 12, 2013",J.C.Staff
A Certain Scientific Railgun S Specials,SPECIAL,9.05,60,"Jul 24, 2013",J.C.Staff
A Chinese Ghost Story: The Tsui Hark Animation,MOVIE,6.77,17,"Jul 31, 1997",Triangle Staff
A Certain Scientific Railgun T,TV,8.76,1283,"Jan 10, 2020",J.C.Staff
A Child's Metaphysics,ONA,8.12,14,"Oct 20, 2007",Yamamura Animation
A Couple of Cuckoos,TV,8.55,7174,"Apr 24, 2022",SynergySP
A Christmas Adventure,TV,6,7,"Oct 05, 1984",Shaft
A Clerk in Charge,MOVIE,7.52,14,2004,add some
